metric,k,score
mrr,5,0.8140833333333333
mrr,10,0.8175555555555556
mrr,20,0.8185604716920506
ndcg,5,0.6335445519566845
ndcg,10,0.6149393292181872
ndcg,20,0.6030708916530422
recall,5,0.16621516841025324
recall,10,0.29510992787954804
recall,20,0.4440406266554187
