metric,k,score
mrr,5,0.8417500000000001
mrr,10,0.8465753968253967
mrr,20,0.8470299422799422
ndcg,5,0.6575681880863242
ndcg,10,0.6373159730509632
ndcg,20,0.6176327033284196
recall,5,0.1705202584216126
recall,10,0.2976008911176088
recall,20,0.4470921549801439
