metric,k,score
mrr,5,0.8399166666666668
mrr,10,0.8440674603174603
mrr,20,0.8455970973470973
ndcg,5,0.7269433119343657
ndcg,10,0.7040321094987162
ndcg,20,0.6832085778836027
recall,5,0.18894085439484015
recall,10,0.33324406632405795
recall,20,0.4929443903290254
