metric,k,score
mrr,5,0.21125
mrr,10,0.21180555555555552
mrr,20,0.21211805555555555
ndcg,5,0.18164573295902123
ndcg,10,0.16863928192263372
ndcg,20,0.1633410891655229
recall,5,0.04370138470268925
recall,10,0.07569733594994506
recall,20,0.11705070985834742
