metric,k,score
mrr,5,0.21016666666666667
mrr,10,0.21116666666666667
mrr,20,0.21116666666666667
ndcg,5,0.18089292892557482
ndcg,10,0.16936970588372538
ndcg,20,0.16468297558440725
recall,5,0.0443819402582448
recall,10,0.07669733594994506
recall,20,0.11831475875747698
