metric,k,score
mrr,5,0.09683333333333334
mrr,10,0.09766666666666665
mrr,20,0.098
ndcg,5,0.07705133880339607
ndcg,10,0.07308313529381395
ndcg,20,0.06948818376987803
recall,5,0.0095
recall,10,0.017875000000000002
recall,20,0.033375
