metric,k,score
mrr,5,0.2065833333333333
mrr,10,0.2065833333333333
mrr,20,0.20691666666666667
ndcg,5,0.17396848627398134
ndcg,10,0.1637974500270655
ndcg,20,0.15992691667914447
recall,5,0.04313194025824481
recall,10,0.07300388356899268
recall,20,0.11323340955112776
