metric,k,score
mrr,5,0.09408333333333334
mrr,10,0.09408333333333334
mrr,20,0.09441666666666666
ndcg,5,0.07446792985169305
ndcg,10,0.07086494154131942
ndcg,20,0.06862479839993636
recall,5,0.00925
recall,10,0.017374999999999998
recall,20,0.033125
