metric,k,score
mrr,5,0.09875
mrr,10,0.09930555555555554
mrr,20,0.09961805555555553
ndcg,5,0.08274306453794442
ndcg,10,0.07488443408537608
ndcg,20,0.07046044911548675
recall,5,0.010375
recall,10,0.018000000000000002
recall,20,0.0335
