metric,k,score
mrr,5,0.8214166666666667
mrr,10,0.827531746031746
mrr,20,0.8281775793650793
ndcg,5,0.6797366899826751
ndcg,10,0.6610963015750897
ndcg,20,0.6455850219082927
recall,5,0.1831079576089635
recall,10,0.3166496988425001
recall,20,0.471249442832395
