metric,k,score
mrr,5,0.8310833333333334
mrr,10,0.8354781746031746
mrr,20,0.8366618867243867
ndcg,5,0.6874548812665456
ndcg,10,0.6639187919938105
ndcg,20,0.6547060543806495
recall,5,0.18598797963372238
recall,10,0.3169312360187741
recall,20,0.47873589941585515
