metric,k,score
mrr,5,0.8403333333333333
mrr,10,0.8437142857142856
mrr,20,0.8444880952380952
ndcg,5,0.7301293986590269
ndcg,10,0.712111793059369
ndcg,20,0.6889889847726927
recall,5,0.19156505918448613
recall,10,0.3360732860687189
recall,20,0.4961674914116466
