metric,k,score
mrr,5,0.8441666666666667
mrr,10,0.8495119047619047
mrr,20,0.850906015037594
ndcg,5,0.7295942175222417
ndcg,10,0.709237914277642
ndcg,20,0.68899635394067
recall,5,0.1929074064370501
recall,10,0.3389099168155664
recall,20,0.4988481987838206
