metric,k,score
mrr,5,0.8261666666666667
mrr,10,0.8305257936507937
mrr,20,0.831586956752398
ndcg,5,0.6823949523886996
ndcg,10,0.6607510356792704
ndcg,20,0.6509542105443258
recall,5,0.18388834608014143
recall,10,0.3151142898070911
recall,20,0.47579706709592773
