metric,k,score
mrr,5,0.7609166666666667
mrr,10,0.7673035714285714
mrr,20,0.7687701832481244
ndcg,5,0.6004206882794745
ndcg,10,0.5735726555906908
ndcg,20,0.5505229520763567
recall,5,0.1527886378349224
recall,10,0.25889488471183625
recall,20,0.38601448252233667
