metric,k,score
mrr,5,0.8043333333333333
mrr,10,0.8093174603174604
mrr,20,0.8106187423687424
ndcg,5,0.6574069190615421
ndcg,10,0.6347483697600693
ndcg,20,0.6281746403927332
recall,5,0.17864429846109384
recall,10,0.3060111152039165
recall,20,0.4593320945684551
